Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary          CLVM,,1,,2,3,,,2,2,,,5,
Medicine            VIBS,,,,,,3,3,11,11,,,14,
VLCS,,,,,,,,3,3,,,3,
VSCS,,,,,,,,7,7,,,7,
VTPB,,,,,,,,12,12,,,12,
VTPP,,,,,,,,8,8,,,8,
Subtotal,,1,,2,3,3,3,43,43,,,49,
General               GEST,4,2,,,6,,,,,,,6,
Studies                Subtotal,4,2,,,6,,,,,,,6,
Other - Special  CLMD,,,,,,5,5,,,,,5,
Populations       MARS,,,,,,,,,,,,,
SABX,1,16,33,14,64,9,9,,,,,73,
SRPH,,,,,,7,7,,,,,7,
Subtotal,1,16,33,14,64,21,21,,,,,85,
University          Total,96,91,161,292,640,"1,515","1,515","2,138","2,138",,,"4,293",
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,
